~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Running OptimTraj, iteration 1
  -> Transcription via trapezoid method, nGrid = 10

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
   76   11787    1.118474e+00    1.203e-04    9.302e-04    3.124e+00
   77   11940    1.116256e+00    3.995e-04    1.474e-03    6.538e+00
   78   12093    1.114976e+00    5.560e-04    2.086e-03    5.420e+00
   79   12246    1.115498e+00    9.133e-06    1.010e-03    1.393e+00
   80   12399    1.115352e+00    4.088e-06    9.278e-04    5.683e-01
   81   12552    1.115365e+00    3.480e-08    9.277e-04    5.936e-02
   82   12705    1.115343e+00    2.737e-08    9.167e-04    3.800e-02
   83   12858    1.115202e+00    1.112e-06    9.057e-04    1.771e-01
   84   13011    1.114507e+00    2.704e-05    8.644e-04    8.606e-01
   85   13164    1.111587e+00    4.840e-04    6.414e-04    3.672e+00
   86   13318    1.110884e+00    3.562e-04    1.177e-03    1.019e+00
   87   13471    1.110751e+00    1.041e-05    1.120e-03    1.052e+00
   88   13624    1.111115e+00    1.318e-05    7.131e-04    1.152e+00
   89   13777    1.111171e+00    2.878e-07    4.959e-04    1.456e-01
   90   13930    1.111178e+00    8.802e-09    4.926e-04    3.974e-02

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
   91   14083    1.111165e+00    2.122e-08    4.903e-04    4.914e-02
   92   14236    1.111092e+00    4.403e-07    4.795e-04    2.250e-01
   93   14389    1.110788e+00    8.451e-06    4.365e-04    9.781e-01
   94   14542    1.109891e+00    9.743e-05    4.943e-04    3.259e+00
   95   14695    1.105479e+00    1.927e-03    1.560e-03    1.508e+01
   96   14848    1.103002e+00    1.805e-03    5.620e-03    9.820e+00
   97   15002    1.103580e+00    9.543e-04    4.388e-03    2.815e+00
   98   15156    1.103301e+00    4.990e-04    2.905e-03    1.574e+00
   99   15309    1.103257e+00    6.245e-06    3.951e-04    8.426e-01
  100   15462    1.103309e+00    1.471e-07    3.738e-04    1.149e-01
  101   15615    1.103307e+00    3.052e-10    3.521e-04    8.948e-03
  102   15768    1.103286e+00    1.650e-08    3.506e-04    3.833e-02
  103   15921    1.103180e+00    4.125e-07    3.440e-04    1.873e-01
  104   16074    1.102697e+00    8.835e-06    3.187e-04    8.645e-01
  105   16228    1.102120e+00    1.950e-05    3.305e-04    1.097e+00
  106   16382    1.101773e+00    2.189e-05    3.031e-04    9.809e-01
  107   16535    1.101782e+00    1.481e-05    3.532e-04    1.469e+00
  108   16688    1.101857e+00    6.565e-06    5.219e-04    9.654e-01
  109   16841    1.101852e+00    7.112e-08    5.219e-04    1.063e-01
  110   16994    1.101846e+00    1.049e-09    5.219e-04    1.436e-02
  111   17147    1.101817e+00    2.859e-08    5.179e-04    5.818e-02
  112   17300    1.101678e+00    7.075e-07    4.987e-04    2.797e-01
  113   17453    1.101095e+00    1.258e-05    4.049e-04    1.184e+00
  114   17606    1.100231e+00    2.850e-05    3.501e-04    2.052e+00
  115   17759    1.100666e+00    8.426e-06    3.710e-04    5.723e-01
  116   17912    1.100648e+00    2.775e-07    2.462e-04    1.973e-01
  117   18065    1.100651e+00    1.003e-08    2.462e-04    2.470e-02
  118   18218    1.100649e+00    5.957e-10    2.462e-04    8.820e-03
  119   18371    1.100640e+00    2.852e-09    2.462e-04    3.006e-02
  120   18524    1.100594e+00    7.037e-08    2.463e-04    1.466e-01

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
  121   18677    1.100367e+00    1.660e-06    2.507e-04    7.112e-01
  122   18830    1.099398e+00    3.031e-05    2.236e-04    3.037e+00
  123   18984    1.098761e+00    3.920e-05    4.096e-04    2.055e+00
  124   19137    1.097801e+00    1.322e-04    1.375e-03    4.930e+00
  125   19291    1.097519e+00    1.448e-04    1.631e-03    2.533e+00
  126   19444    1.097626e+00    2.821e-05    1.546e-03    1.670e+00
  127   19597    1.097737e+00    1.458e-06    2.008e-04    3.812e-01
  128   19750    1.095473e+00    1.401e-04    2.759e-03    1.960e+00
  129   19903    1.095448e+00    9.661e-07    3.437e-04    2.981e-01
  130   20056    1.095450e+00    2.212e-10    2.887e-04    5.528e-03
  131   20209    1.095448e+00    1.186e-09    2.866e-04    8.510e-03
  132   20362    1.095439e+00    2.926e-08    2.756e-04    4.250e-02
  133   20515    1.095392e+00    7.242e-07    2.701e-04    2.115e-01
  134   20668    1.095163e+00    1.718e-05    2.777e-04    1.029e+00
  135   20821    1.094624e+00    1.046e-04    1.091e-03    2.446e+00
  136   20974    1.094749e+00    1.136e-05    3.833e-04    8.974e-01
  137   21127    1.094475e+00    1.110e-04    1.276e-03    3.941e+00
  138   21280    1.094575e+00    1.422e-05    2.769e-04    1.390e+00
  139   21433    1.094527e+00    3.767e-07    1.599e-04    2.198e-01
  140   21586    1.094526e+00    3.954e-07    1.598e-04    2.652e-01
  141   21739    1.094525e+00    5.617e-09    1.598e-04    3.011e-02
  142   21892    1.094524e+00    7.408e-10    1.598e-04    8.529e-03
  143   22045    1.094518e+00    2.042e-08    1.598e-04    4.497e-02
  144   22198    1.094488e+00    4.831e-07    1.578e-04    2.186e-01
  145   22351    1.094362e+00    8.870e-06    1.264e-04    9.327e-01
  146   22505    1.094290e+00    8.227e-06    2.657e-04    4.922e-01
  147   22658    1.094248e+00    5.088e-06    1.712e-04    5.293e-01
  148   22811    1.094298e+00    1.270e-06    1.707e-04    5.157e-01
  149   22964    1.094298e+00    1.528e-09    1.707e-04    1.166e-02
  150   23117    1.094298e+00    6.948e-11    1.707e-04    2.567e-03

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
  151   23270    1.094296e+00    6.624e-10    1.707e-04    1.275e-02
  152   23423    1.094285e+00    1.881e-08    1.707e-04    6.351e-02
  153   23576    1.094233e+00    4.498e-07    1.666e-04    3.098e-01
  154   23729    1.094001e+00    8.248e-06    1.431e-04    1.341e+00
  155   23883    1.093882e+00    6.483e-06    1.489e-04    5.591e-01
  156   24036    1.093752e+00    2.338e-06    2.070e-04    7.045e-01
  157   24189    1.093828e+00    5.101e-07    1.953e-04    1.873e-01
  158   24342    1.093830e+00    1.411e-09    6.485e-05    1.273e-02
  159   24495    1.093830e+00    1.588e-11    6.485e-05    1.155e-03
  160   24648    1.093829e+00    3.522e-10    6.484e-05    4.925e-03
  161   24801    1.093827e+00    8.696e-09    6.468e-05    2.458e-02
  162   24954    1.093816e+00    2.142e-07    6.369e-05    1.220e-01
  163   25107    1.093765e+00    4.969e-06    5.881e-05    5.873e-01
  164   25260    1.093571e+00    7.654e-05    4.312e-05    2.302e+00
  165   25414    1.093599e+00    3.918e-05    5.450e-05    2.442e-01
  166   25567    1.093605e+00    8.592e-08    7.086e-05    1.254e-01
  167   25720    1.093609e+00    1.238e-08    5.120e-05    2.483e-02
  168   25873    1.093610e+00    1.133e-10    5.097e-05    1.429e-03
  169   26026    1.093610e+00    1.943e-11    5.097e-05    1.874e-03
  170   26179    1.093609e+00    5.529e-10    5.098e-05    9.188e-03
  171   26332    1.093607e+00    1.385e-08    5.101e-05    4.589e-02
  172   26485    1.093596e+00    3.438e-07    5.067e-05    2.285e-01
  173   26638    1.093545e+00    8.286e-06    4.739e-05    1.120e+00
  174   26791    1.093333e+00    1.709e-04    2.318e-04    5.056e+00
  175   26944    1.093200e+00    3.827e-04    1.109e-03    7.322e+00
  176   27097    1.093303e+00    6.560e-07    6.108e-04    2.086e-01
  177   27250    1.093303e+00    1.306e-07    4.000e-05    1.211e-01
  178   27403    1.092752e+00    2.539e-05    9.529e-04    9.929e-01
  179   27556    1.092732e+00    1.658e-06    9.060e-05    2.330e-01
  180   27709    1.092734e+00    1.023e-08    4.085e-05    4.602e-02

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
  181   27862    1.092734e+00    1.402e-08    4.244e-05    4.256e-02
  182   28015    1.092734e+00    6.684e-08    1.051e-04    9.458e-02
  183   28168    1.092734e+00    1.186e-07    2.065e-04    1.287e-01
  184   28321    1.092733e+00    3.491e-07    3.878e-04    2.293e-01
  185   28474    1.092732e+00    8.136e-07    6.847e-04    3.729e-01
  186   28627    1.092728e+00    1.995e-06    1.172e-03    6.379e-01
  187   28780    1.092720e+00    7.039e-06    1.982e-03    1.092e+00
